autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z
IDDQD Sound,JSFX Scripting tutorial for beginners Pt. 3 (With Leandro Facchinetti),https://www.youtube.com/watch?v=VWnJa0-N5lc,"Custom Scripts & Actions (Custom Scripts & Actions, JSFX & Plugin DSP)",376,2021-08-10,02:03:25,7405,71.54,-62.78,16.22
Fatima Araujo,Wwise Video Game Audio Demo Reel   Fatima Araujo   School of Video Game Audio,https://www.youtube.com/watch?v=ScnX9fUQL8M,Game Audio & Middleware (Game Audio & Middleware),354,2019-08-11,07:10,430,89.83,45.85,-5.65
IDDQD Sound,Live Scripting tutorial for beginners Pt. 2 (With Leandro Facchinetti),https://www.youtube.com/watch?v=63RKdZfeN7c,Custom Scripts & Actions (Custom Scripts & Actions),337,2021-08-10,02:18:40,8320,62.78,-58.97,38.83
BØLT,Keep Track of Loudness with REAPER's Render Stats #reaperdaw #sounddesign #mastering,https://www.youtube.com/watch?v=5owdSIt-amE,Mastering & Loudness (Mastering & Loudness),306,2025-08-09,01:06,66,65.38,5.02,8.12
sergyomusic,Creating a new js effect and lua script,https://www.youtube.com/watch?v=vdbxAhAnO1I,Custom Scripts & Actions (Custom Scripts & Actions),301,2019-08-11,03:34,214,62.63,-36.24,98.11
fieldtapes,FMOD Sound Design DemoReel_TravisBrown,https://www.youtube.com/watch?v=lvMAGSApOBk,Game Audio & Middleware (Game Audio & Middleware),262,2025-11-12,03:00,180,74.77,47.45,-26.26
IDDQD Sound,JSFX Scripting tutorial for beginners Pt. 4 (With Leandro Facchinetti),https://www.youtube.com/watch?v=0nnvQJv_gx8,"Custom Scripts & Actions (Custom Scripts & Actions, JSFX & Plugin DSP)",260,2021-08-10,02:03:05,7385,75.37,-61.88,33.88
pietrosammarco,Pietro Sammarco -- Game Audio Demo -- Sound Design & Wwise Implementation,https://www.youtube.com/watch?v=pJN2-RkV5p4,Game Audio & Middleware (Game Audio & Middleware),251,2021-08-10,05:45,345,84.82,46.22,-26.58
AccessMTech,Creating Custom Actions in Reaper by Garth Humphreys,https://www.youtube.com/watch?v=NiU_BTjTVOY,Beginner Guides (Beginner Guides),243,2018-08-11,15:07,907,36.7,-43.17,65.76
Leandro Facchinetti,Making a Colors Demo Panel in JSFX (REAPER Real-Time Audio Effects),https://www.youtube.com/watch?v=gxjfK-qxpdQ,JSFX & Plugin DSP (JSFX & Plugin DSP),243,2022-08-10,02:38:00,9480,54.86,-78.18,-108.76
IDDQD Sound,JSFX Scripting tutorial for beginners Pt. 5 (With Leandro Facchinetti),https://www.youtube.com/watch?v=5K4XPmmUbyA,"Custom Scripts & Actions (Custom Scripts & Actions, JSFX & Plugin DSP)",231,2021-08-10,02:35:14,9314,75.37,-61.88,33.88
Sound Lab Dairies,Advanced Mac Audio Routing with Loopback and Reaper,https://www.youtube.com/watch?v=5RuoALcnVos,Audio Mixing & Routing (Audio Mixing & Routing),220,2026-05-11,06:56,416,101.45,-46.24,-13.03
IDDQD Sound,Live Scripting tutorial for beginners Pt. 3 (With Leandro Facchinetti),https://www.youtube.com/watch?v=Wp11Varkd6A,Custom Scripts & Actions (Custom Scripts & Actions),213,2021-08-10,01:50:50,6650,62.78,-58.97,38.83
Krinstar,Creating a JSFX Midi CC modulator from scratch for Bitwig/Reaper,https://www.youtube.com/watch?v=_HNXC088Mm0,"JSFX & Plugin DSP (JSFX & Plugin DSP, MIDI Editing & Virtual Instruments)",213,2023-08-10,24:09,1449,62.45,-82.4,-22.88
Nick Ranayhossaini,Making a sound in Reaper and implementing with Unity and Wwise,https://www.youtube.com/watch?v=ACKr4jPLeNQ,Game Audio & Middleware (Game Audio & Middleware),201,2021-08-10,16:38,998,89.01,64.22,-22.22
Jody Marks,Adjusting Loudness in Reaper,https://www.youtube.com/watch?v=OicayjtX_-I,Mastering & Loudness (Mastering & Loudness),195,2023-08-10,06:56,416,68.42,-0.67,27.35
Julie Reich,"Weapon Sound Design - Game Audio (DAWs used Pro Tools, Reaper, here in FMOD for Unity Integration)",https://www.youtube.com/watch?v=n9rq2wtuqD0,Game Audio & Middleware (Game Audio & Middleware),194,2022-08-10,02:26,146,70.66,45.24,-43.74
Dave Graham,JSFX plugins for 60s/70s guitar tones - for Reaper,https://www.youtube.com/watch?v=KDSZ3zKtHpg,JSFX & Plugin DSP (JSFX & Plugin DSP),190,2026-04-11,18:27,1107,71.46,-53.67,-88.66
ACDev,Finding Audio - 01 - Sound Design Basics in Reaper,https://www.youtube.com/watch?v=mJL2fKfMDHE,"Beginner Guides (Beginner Guides, Game Audio & Middleware)",186,2019-08-11,02:04,124,59.21,38.19,-68.43
Luke Johnson,"More Fun With Video Game Audio - Implementing Weapons and Footsteps using Unity, Wwise and Cubase!",https://www.youtube.com/watch?v=Eltk5uL0Ho4,Game Audio & Middleware (Game Audio & Middleware),181,2023-08-10,04:01,241,91.74,63.45,0.41
La Chí Nhân Official,The Ultimate Bass Audio to MIDI Tool for REAPER (No External Plugins!),https://www.youtube.com/watch?v=ZI9ML0I1c7M,"Custom Scripts & Actions (Custom Scripts & Actions, JSFX & Plugin DSP, MIDI Editing & Virtual Instruments)",180,2026-05-11,07:18,438,67.29,-86.87,25.28
Leandro Facchinetti,The Parameter with a Thousand Faces · REAPER Real-Time Audio Effects (JSFX),https://www.youtube.com/watch?v=MEmMj3i01BA,JSFX & Plugin DSP (JSFX & Plugin DSP),168,2023-08-10,01:19:20,4760,67.22,-84.99,-106.96
Anna A0M0RE,Game Audio | Unity + Wwise | Gun Audio System,https://www.youtube.com/watch?v=7B_ZNQGl20c,Game Audio & Middleware (Game Audio & Middleware),163,2023-08-10,01:03,63,81.9,63.74,-4.37
Overstratum Audio,LAUTMACHER v1.0 | Automatic Multiband Limiter | JSFX Reaper free Plugin | Overstratum Audio,https://www.youtube.com/watch?v=ZavCliFh65M,"Custom Scripts & Actions (Custom Scripts & Actions, JSFX & Plugin DSP, Mastering & Loudness)",153,2026-05-11,01:16,76,81.5,-42.93,38.35
Ben Lamb O'Sullivan,Microcontroller Set-up in Reaper using modified & stock JSFX Scripts,https://www.youtube.com/watch?v=uaJaWkeZulU,"Custom Scripts & Actions (Custom Scripts & Actions, JSFX & Plugin DSP)",137,2021-08-10,04:22,262,85.72,-59.23,37.81
Artem Davydov,Game Audio Implementation (UE/FMOD studio),https://www.youtube.com/watch?v=ci92uJkRvD0,Game Audio & Middleware (Game Audio & Middleware),115,2018-08-11,07:17,437,60.86,48.31,-7.45
Leandro Facchinetti,Starting Automixer for Video · REAPER Real-Time Audio Effects (JSFX),https://www.youtube.com/watch?v=P5l2V645hys,JSFX & Plugin DSP (JSFX & Plugin DSP),97,2023-08-10,01:15:06,4506,64.17,-87.64,-82.69
Leandro Facchinetti,Mouse Interactivity · REAPER Real-Time Audio Effects (JSFX),https://www.youtube.com/watch?v=yNvUad4Y3qs,JSFX & Plugin DSP (JSFX & Plugin DSP),76,2022-08-10,01:55:30,6930,60.19,-76.38,-92.3
Leandro Facchinetti,Taming the Parameter with a Thousand Faces · REAPER Real-Time Audio Effects (JSFX),https://www.youtube.com/watch?v=0ZnM7RrBJ9k,JSFX & Plugin DSP (JSFX & Plugin DSP),53,2023-08-10,01:58:26,7106,67.22,-84.99,-106.96
